ANKET ﾹ,SLEEP HOURS ,DREAMS,PHASE,LD,FALSE ,PARALISYS,OBE,KNOW,AGE,SEX
221,5,often,no,no,no,no,no,no,87,m
568,8,often,no,no,no,no,no,no,85,m
482,8,often,often,no,no,no,often,no,83,m
563,7,often,sometimes,sometimes,once,no,no,no,82,m
203,9,often,often,often,no,no,no,no,80,m
939,8,sometimes,sometimes,sometimes,no,no,once,no,80,m
569,8,sometimes,no,no,no,no,no,no,75,m
212,6,sometimes,often,no,once,often,no,no,73,m
557,8,often,no,no,no,no,no,yes,73,m
153,8,often,often,sometimes,often,no,sometimes,yes,72,m
447,4,no,no,no,no,no,no,no,70,m
77,7,sometimes,no,no,no,no,no,no,70,m
334,7,sometimes,sometimes,sometimes,no,no,sometimes,yes,70,m
287,6,no,no,no,no,no,no,no,65,m
196,6,sometimes,sometimes,sometimes,sometimes,no,once,no,65,m
699,7,often,sometimes,sometimes,no,no,no,yes,65,m
556,6,sometimes,no,no,no,no,no,yes,63,m
931,5,often,often,often,no,no,no,yes,62,m
71,8,sometimes,once,once,no,no,no,no,60,m
901,6,sometimes,sometimes,sometimes,no,no,no,yes,60,m
952,6,sometimes,sometimes,once,no,no,once,no,59,m
99,6,often,sometimes,sometimes,no,no,no,no,58,m
202,6,sometimes,sometimes,no,no,no,sometimes,no,58,m
802,5,often,no,no,no,no,no,yes,58,m
143,5,often,no,no,no,no,no,yes,57,m
380,6,sometimes,sometimes,sometimes,no,no,no,yes,57,m
451,6,often,sometimes,sometimes,no,no,no,yes,56,m
111,6,sometimes,sometimes,no,no,no,sometimes,no,55,m
133,5,sometimes,sometimes,no,no,no,sometimes,yes,55,m
372,6,sometimes,sometimes,sometimes,no,no,sometimes,yes,55,m
214,7,no,once,no,once,no,no,no,53,m
192,9,sometimes,sometimes,sometimes,no,no,sometimes,no,53,m
262,8,often,often,sometimes,sometimes,sometimes,often,yes,52,m
107,5,often,often,often,sometimes,once,once,no,51,m
452,8,no,sometimes,once,no,sometimes,sometimes,yes,51,m
384,7,often,no,no,no,no,no,no,50,m
460,7,often,sometimes,no,no,no,sometimes,no,50,m
930,6,sometimes,sometimes,sometimes,no,no,sometimes,no,50,m
690,6,often,often,often,no,no,sometimes,no,49,m
44,8,sometimes,sometimes,sometimes,no,sometimes,no,yes,49,m
744,8,often,no,no,no,no,no,no,47,m
377,7,often,sometimes,sometimes,sometimes,no,no,no,47,m
393,8,often,sometimes,sometimes,no,once,once,yes,47,m
50,6,sometimes,no,no,no,no,no,no,46,m
315,8,sometimes,no,no,no,no,no,no,46,m
794,6,yes,sometimes,sometimes,yes,yes,no,no,46,m
633,6,sometimes,often,sometimes,no,no,often,yes,46,m
706,7,sometimes,no,no,no,no,no,no,45,m
347,6,often,often,often,no,no,sometimes,yes,45,m
341,6,often,often,often,sometimes,no,sometimes,yes,44,m
571,8,sometimes,sometimes,sometimes,no,no,no,no,43,m
953,6,sometimes,often,sometimes,no,no,often,no,43,m
391,8,often,sometimes,no,sometimes,once,no,yes,43,m
428,7,often,often,sometimes,often,often,often,yes,43,m
511,4,sometimes,once,no,no,no,once,yes,43,m
364,7,often,often,often,often,sometimes,sometimes,yes,43,m
47,6,often,often,sometimes,sometimes,sometimes,sometimes,yes,43,m
735,6,often,yes,yes,no,no,no,no,42,m
189,8,sometimes,often,sometimes,sometimes,sometimes,no,no,42,m
545,6,sometimes,sometimes,no,no,no,sometimes,no,42,m
351,6,sometimes,often,sometimes,sometimes,no,sometimes,yes,42,m
275,7,often,often,often,sometimes,no,no,yes,41,m
775,5,often,sometimes,sometimes,no,no,no,no,40,m
149,4,often,often,often,no,no,no,no,39,m
688,6,sometimes,no,no,no,no,no,yes,39,m
681,6,sometimes,often,often,once,no,once,yes,39,m
766,6,often,yes,no,no,no,yes,yes,39,m
554,6,often,often,sometimes,often,no,often,no,38,m
925,7,often,sometimes,no,sometimes,sometimes,no,yes,38,m
610,8,often,once,no,no,no,once,yes,38,m
172,7,often,often,sometimes,sometimes,sometimes,sometimes,yes,38,m
975,6,often,sometimes,sometimes,once,no,no,no,37,m
168,7,sometimes,sometimes,sometimes,no,once,no,no,37,m
461,7,no,sometimes,no,no,no,sometimes,no,37,m
148,7,sometimes,no,no,no,no,no,yes,37,m
575,6,often,once,no,once,no,no,yes,37,m
59,8,sometimes,no,no,no,no,no,no,36,m
762,7,often,sometimes,sometimes,no,no,no,no,36,m
570,7,sometimes,sometimes,sometimes,once,no,no,no,36,m
974,3,sometimes,sometimes,no,no,sometimes,no,no,36,m
574,3,often,often,often,no,no,no,yes,36,m
183,7,sometimes,often,often,often,no,no,yes,36,m
62,6,sometimes,sometimes,sometimes,once,once,no,yes,36,m
374,8,often,sometimes,sometimes,once,yes,no,yes,36,m
785,5,sometimes,no,no,no,no,no,no,35,m
251,7,often,once,once,no,no,no,no,35,m
205,9,often,sometimes,no,no,no,sometimes,no,35,m
733,7,sometimes,sometimes,sometimes,no,no,no,yes,35,m
911,7,often,sometimes,sometimes,once,no,no,yes,35,m
913,6,sometimes,sometimes,sometimes,sometimes,no,no,yes,35,m
421,1,no,once,no,no,no,once,yes,35,m
456,6,sometimes,sometimes,sometimes,no,no,once,yes,35,m
430,8,often,sometimes,sometimes,no,no,sometimes,yes,35,m
137,8,often,often,often,often,no,sometimes,yes,35,m
507,7,sometimes,no,no,no,no,no,no,34,m
176,6,sometimes,often,often,sometimes,no,no,no,34,m
417,8,often,sometimes,sometimes,no,no,once,no,34,m
142,10,often,often,often,often,sometimes,often,yes,34,m
385,10,no,no,no,no,no,no,no,33,m
689,8,sometimes,sometimes,sometimes,no,no,once,no,33,m
348,7,often,often,often,no,no,sometimes,no,33,m
615,8,sometimes,often,often,sometimes,no,no,yes,33,m
830,7,sometimes,often,sometimes,no,no,often,yes,33,m
