ANKET ﾹ;SLEEP GROUP 5;SLEEP GROUP normal 5-10;SLEEP GROUP normal 6-9;SLEEP GROUP normal 7-8;SLEEP HOURS;DREAMS often;DREAMS yes/no;DREAMS;PHASE  yes/no;PHASE often;PHASE oftenN;PHASE;LD often;LD yes/no;LD;FALSE often;FALSE yes/no;FALSE ;PARALISYS often;PARALISYS yes/no;PARALISYS;OBE often;OBE yes/no;OBE;KNOW;AGE GROUP 10;AGE GROUP 5;AGE;SEX
1;5-6;5;<6;<7;5;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;sometimes;yes;11-20;16-20;19;m
2;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;11-20;16-20;18;m
3;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;yes;21-30;21-25;22;w
4;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often2;often;often;yes;often;no;no;no;often;yes;often;no;no;no;yes;11-20;10-15;15;w
5;<5;<5;<6;<7;4;often;yes;often;yes;often;often2;often;often;yes;often;often;yes;often;no;yes;sometimes;no;yes;once;yes;11-20;16-20;19;m
6;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;once;yes;11-20;16-20;17;m
7;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;yes;sometimes;no;yes;once;yes;11-20;16-20;15;m
8;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;yes;sometimes;no;no;no;no;11-20;16-20;18;w
9;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;21-30;26-30;27;w
10;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;once;no;no;no;no;yes;sometimes;n/a;11-20;16-20;16;m
11;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;no;no;no;yes;sometimes;no;yes;sometimes;yes;11-20;16-20;17;m
12;9-10;9;6-9;>8;9;often;yes;often;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;no;no;no;no;no;yes;11-20;16-20;18;w
13;5-6;5;<6;<7;5;often;yes;often;yes;no;no;once;no;no;no;no;yes;once;no;no;no;no;no;no;yes;11-20;16-20;19;n/a
14;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;11-20;16-20;14;m
15;<5;<5;<6;<7;2;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;once;no;no;no;no;no;no;no;11-20;16-20;17;m
16;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;once;no;yes;once;no;yes;once;no;no;no;yes;21-30;21-25;25;m
17;5-6;5;<6;<7;5;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;yes;once;no;yes;sometimes;yes;11-20;10-15;15;m
18;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;no;no;no;no;21-30;21-25;24;w
19;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;yes;once;yes;21-30;21-25;24;m
